Año,Mes,id_Rubro,Rubro,indice,variación mensual
2020,3,2,Cales,139.765715358019,2
2020,3,4,Cemento portland,172.614980354162,3
2020,3,8,Hierro redondo y acero para construcción,187.077682903673,1.99999999999998
2020,3,9,Hormigón elaborado,156.385331390603,1.84998772704883
2020,3,10,Ladrillos cerámicos,139.896922970826,1.63963568148535
2020,3,11,Ladrillos comunes,134.701343981568,0
2020,3,12,Mosaicos graníticos y calcáreos,162.574818886819,1.96010471207746
2020,3,13,Pinturas para construcción,145.970579224227,0
2020,3,14,Pisos y revestimientos cerámicos,217.559461883589,2.99999999999998
2020,3,17,Yeso,162.063825967741,0
2020,3,15,Sanitarios de cerámica,205.192597367378,5.66561292003909
2020,3,16,Tubos estructurales,163.492154678591,1.49999999999999
2020,3,3,Caños de PVC,152.796622566842,1.24681257284567
2020,3,5,Chapas galvanizadas,150.187200955882,3.89995187679346
2020,3,7,Hierro fundido,134.995965374277,0.832519811149091
2020,3,6,Conductores de cobre,169.500374959723,0.662270956011302
2020,4,1,Asfalto,160.692723429731,0.998137385982023
2020,4,2,Cales,139.765715358019,0
2020,4,4,Cemento portland,175.204205059474,1.49999999999999
2020,4,8,Hierro redondo y acero para construcción,196.431567048857,5
2020,4,9,Hormigón elaborado,156.385331390603,0
2020,4,10,Ladrillos cerámicos,143.159668821607,2.33224990335323
2020,4,11,Ladrillos comunes,134.701343981568,0
2020,4,12,Mosaicos graníticos y calcáreos,162.574818886819,0
2020,4,13,Pinturas para construcción,145.970579224227,0
2020,4,14,Pisos y revestimientos cerámicos,219.735056502425,1
2020,4,17,Yeso,162.063825967741,0
2020,4,15,Sanitarios de cerámica,206.213472864902,0.497520627265247
2020,4,16,Tubos estructurales,169.043104918332,3.39523951510314
2020,4,3,Caños de PVC,156.729871446179,2.57417265726325
2020,4,5,Chapas galvanizadas,156.566105131103,4.24730212336433
2020,4,7,Hierro fundido,137.453109160839,1.82016090610513
2020,4,6,Conductores de cobre,171.758525458202,1.33223923487833
2020,5,1,Asfalto,165.08283321418,2.73199040426311
2020,5,2,Cales,139.765715358019,0
